SN MIB Stat[EGM0002091817]: F[S=2942,R=2929],T[Min=484,Max=15276,Ave=2118].
SN MIB Stat[EGM0002091818]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091820]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091821]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091822]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091823]: F[S=14,R=12],T[Min=463,Max=7115,Ave=2409].
SN MIB Stat[EGM0002091825]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091828]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091829]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091830]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091831]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091832]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091835]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091836]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091837]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091838]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091839]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091840]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091842]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091843]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091846]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091847]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091849]: F[S=2,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091850]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091854]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091855]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091856]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091857]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091859]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091860]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091862]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091863]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091864]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091865]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091866]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091867]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091868]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091870]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091871]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091872]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091873]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091874]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091875]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091876]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091877]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091878]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091879]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091881]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091882]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091883]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091884]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
